Id,Prediction
0,3941975.79787
1,3941975.79787
2,3941975.79787
3,3941975.79787
4,3941975.79787
5,3941975.79787
6,3941975.79787
7,3941975.79787
8,3941975.79787
9,3941975.79787
10,3941975.79787
11,3941975.79787
12,3941975.79787
13,3941975.79787
14,3941975.79787
15,3941975.79787
16,3941975.79787
17,3941975.79787
18,3941975.79787
19,3941975.79787
20,3941975.79787
21,3941975.79787
22,3941975.79787
23,3941975.79787
24,3941975.79787
25,3941975.79787
26,3941975.79787
27,3941975.79787
28,3941975.79787
29,3941975.79787
30,3941975.79787
31,3941975.79787
32,3941975.79787
33,3941975.79787
34,3941975.79787
35,3941975.79787
36,3941975.79787
37,3941975.79787
38,3941975.79787
39,3941975.79787
40,3941975.79787
41,3941975.79787
42,3941975.79787
43,3941975.79787
44,3941975.79787
45,3941975.79787
46,3941975.79787
47,3941975.79787
48,3941975.79787
49,3941975.79787
50,3941975.79787
51,3941975.79787
52,3941975.79787
53,3941975.79787
54,3941975.79787
55,3941975.79787
56,3941975.79787
57,3941975.79787
58,3941975.79787
59,3941975.79787
60,3941975.79787
61,3941975.79787
62,3941975.79787
63,3941975.79787
64,3941975.79787
65,3941975.79787
66,3941975.79787
67,3941975.79787
68,3941975.79787
69,3941975.79787
70,3941975.79787
71,3941975.79787
72,3941975.79787
73,3941975.79787
74,3941975.79787
75,3941975.79787
76,3941975.79787
77,3941975.79787
78,3941975.79787
79,3941975.79787
80,3941975.79787
81,3941975.79787
82,3941975.79787
83,3941975.79787
84,3941975.79787
85,3941975.79787
86,3941975.79787
87,3941975.79787
88,3941975.79787
89,3941975.79787
90,3941975.79787
91,3941975.79787
92,3941975.79787
93,3941975.79787
94,3941975.79787
95,3941975.79787
96,3941975.79787
97,3941975.79787
98,3941975.79787
99,3941975.79787
100,3941975.79787
101,3941975.79787
102,3941975.79787
103,3941975.79787
104,3941975.79787
105,3941975.79787
106,3941975.79787
107,3941975.79787
108,3941975.79787
109,3941975.79787
110,3941975.79787
111,3941975.79787
112,3941975.79787
113,3941975.79787
114,3941975.79787
115,3941975.79787
116,3941975.79787
117,3941975.79787
118,3941975.79787
119,3941975.79787
120,3941975.79787
121,3941975.79787
122,3941975.79787
123,3941975.79787
124,3941975.79787
125,3941975.79787
126,3941975.79787
127,3941975.79787
128,3941975.79787
129,3941975.79787
130,3941975.79787
131,3941975.79787
132,3941975.79787
133,3941975.79787
134,3941975.79787
135,3941975.79787
136,3941975.79787
137,3941975.79787
138,3941975.79787
139,3941975.79787
140,3941975.79787
141,3941975.79787
142,3941975.79787
143,3941975.79787
144,3941975.79787
145,3941975.79787
146,3941975.79787
147,3941975.79787
148,3941975.79787
149,3941975.79787
150,3941975.79787
151,3941975.79787
152,3941975.79787
153,3941975.79787
154,3941975.79787
155,3941975.79787
156,3941975.79787
157,3941975.79787
158,3941975.79787
